Position,Tube ID,Status,Error Count,Rack ID,Date
A01,4051125822,OK,0,SEVI TEST PLATE,20211206
A02,,No Tube,0,SEVI TEST PLATE,20211206
A03,,No Code,0,SEVI TEST PLATE,20211206
A04,,No Tube,0,SEVI TEST PLATE,20211206
A05,,No Tube,0,SEVI TEST PLATE,20211206
A06,,No Tube,0,SEVI TEST PLATE,20211206
A07,,No Tube,0,SEVI TEST PLATE,20211206
A08,,No Tube,0,SEVI TEST PLATE,20211206
A09,,No Tube,0,SEVI TEST PLATE,20211206
A10,4051125782,OK,0,SEVI TEST PLATE,20211206
A11,,No Tube,0,SEVI TEST PLATE,20211206
A12,,No Tube,0,SEVI TEST PLATE,20211206
B01,,No Code,0,SEVI TEST PLATE,20211206
B02,,No Code,0,SEVI TEST PLATE,20211206
B03,,No Code,0,SEVI TEST PLATE,20211206
B04,4051126425,OK,0,SEVI TEST PLATE,20211206
B05,,No Tube,0,SEVI TEST PLATE,20211206
B06,,No Tube,0,SEVI TEST PLATE,20211206
B07,,No Tube,0,SEVI TEST PLATE,20211206
B08,,No Tube,0,SEVI TEST PLATE,20211206
B09,,No Tube,0,SEVI TEST PLATE,20211206
B10,,No Tube,0,SEVI TEST PLATE,20211206
B11,,No Tube,0,SEVI TEST PLATE,20211206
B12,,No Tube,0,SEVI TEST PLATE,20211206
C01,,No Code,0,SEVI TEST PLATE,20211206
C02,,No Code,0,SEVI TEST PLATE,20211206
C03,,No Code,0,SEVI TEST PLATE,20211206
C04,,No Tube,0,SEVI TEST PLATE,20211206
C05,,No Tube,0,SEVI TEST PLATE,20211206
C06,4051126473,OK,0,SEVI TEST PLATE,20211206
C07,,No Tube,0,SEVI TEST PLATE,20211206
C08,,No Tube,0,SEVI TEST PLATE,20211206
C09,,No Tube,0,SEVI TEST PLATE,20211206
C10,,No Tube,0,SEVI TEST PLATE,20211206
C11,,No Tube,0,SEVI TEST PLATE,20211206
C12,,No Tube,0,SEVI TEST PLATE,20211206
D01,,No Code,0,SEVI TEST PLATE,20211206
D02,,No Code,0,SEVI TEST PLATE,20211206
D03,,No Code,0,SEVI TEST PLATE,20211206
D04,,No Tube,0,SEVI TEST PLATE,20211206
D05,,No Tube,0,SEVI TEST PLATE,20211206
D06,,No Tube,0,SEVI TEST PLATE,20211206
D07,,No Tube,0,SEVI TEST PLATE,20211206
D08,,No Tube,0,SEVI TEST PLATE,20211206
D09,4051125980,OK,0,SEVI TEST PLATE,20211206
D10,,No Tube,0,SEVI TEST PLATE,20211206
D11,,No Tube,0,SEVI TEST PLATE,20211206
D12,,No Code,0,SEVI TEST PLATE,20211206
E01,,No Code,0,SEVI TEST PLATE,20211206
E02,,No Code,0,SEVI TEST PLATE,20211206
E03,,No Code,0,SEVI TEST PLATE,20211206
E04,,No Tube,0,SEVI TEST PLATE,20211206
E05,4051125869,OK,0,SEVI TEST PLATE,20211206
E06,,No Tube,0,SEVI TEST PLATE,20211206
E07,,No Tube,0,SEVI TEST PLATE,20211206
E08,,No Tube,0,SEVI TEST PLATE,20211206
E09,,No Tube,0,SEVI TEST PLATE,20211206
E10,,No Tube,0,SEVI TEST PLATE,20211206
E11,,No Tube,0,SEVI TEST PLATE,20211206
E12,,No Code,0,SEVI TEST PLATE,20211206
F01,,No Code,0,SEVI TEST PLATE,20211206
F02,,No Code,0,SEVI TEST PLATE,20211206
F03,,No Tube,0,SEVI TEST PLATE,20211206
F04,,No Tube,0,SEVI TEST PLATE,20211206
F05,,No Tube,0,SEVI TEST PLATE,20211206
F06,,No Tube,0,SEVI TEST PLATE,20211206
F07,,No Tube,0,SEVI TEST PLATE,20211206
F08,,No Tube,0,SEVI TEST PLATE,20211206
F09,,No Tube,0,SEVI TEST PLATE,20211206
F10,,No Tube,0,SEVI TEST PLATE,20211206
F11,,No Tube,0,SEVI TEST PLATE,20211206
F12,,No Tube,0,SEVI TEST PLATE,20211206
G01,,No Code,0,SEVI TEST PLATE,20211206
G02,,No Code,0,SEVI TEST PLATE,20211206
G03,,No Code,0,SEVI TEST PLATE,20211206
G04,,No Tube,0,SEVI TEST PLATE,20211206
G05,,No Tube,0,SEVI TEST PLATE,20211206
G06,,No Tube,0,SEVI TEST PLATE,20211206
G07,,No Tube,0,SEVI TEST PLATE,20211206
G08,,No Tube,0,SEVI TEST PLATE,20211206
G09,,No Tube,0,SEVI TEST PLATE,20211206
G10,,No Tube,0,SEVI TEST PLATE,20211206
G11,,No Tube,0,SEVI TEST PLATE,20211206
G12,,No Tube,0,SEVI TEST PLATE,20211206
H01,,No Code,0,SEVI TEST PLATE,20211206
H02,,No Code,0,SEVI TEST PLATE,20211206
H03,,No Code,0,SEVI TEST PLATE,20211206
H04,,No Code,0,SEVI TEST PLATE,20211206
H05,,No Tube,0,SEVI TEST PLATE,20211206
H06,,No Tube,0,SEVI TEST PLATE,20211206
H07,,No Tube,0,SEVI TEST PLATE,20211206
H08,,No Tube,0,SEVI TEST PLATE,20211206
H09,,No Tube,0,SEVI TEST PLATE,20211206
H10,,No Tube,0,SEVI TEST PLATE,20211206
H11,,No Tube,0,SEVI TEST PLATE,20211206
H12,,No Tube,0,SEVI TEST PLATE,20211206
