[Sample Setup]										
Well	Well Position	Sample Name	Biogroup Name	Biogroup Color	Target Name	Task	Reporter	Quencher	Quantity	Comments
1	A1	8068287454	DDIC-014-F01		VarATS	UNKNOWN	FAM	NFQ-MGB		
2	A2	8068287452	DDIC-009-F01		VarATS	UNKNOWN	FAM	NFQ-MGB		
3	A3	8068287093	DDUIC-033-F01		VarATS	UNKNOWN	FAM	NFQ-MGB		
4	A4	8068286936	DDUIC-017-C3-F04		VarATS	UNKNOWN	FAM	NFQ-MGB		
5	A5	8068287445	DDUIC-030-C2-F03		VarATS	UNKNOWN	FAM	NFQ-MGB		
6	A6	8068286984	DDUIC-032-C3-F03		VarATS	UNKNOWN	FAM	NFQ-MGB		
7	A7	8068287150	DDIC-025-F01		VarATS	UNKNOWN	FAM	NFQ-MGB		
8	A8	8068287092	DDUIC-034-F01		VarATS	UNKNOWN	FAM	NFQ-MGB		
9	A9	8068287455	DDIC-035-F01		VarATS	UNKNOWN	FAM	NFQ-MGB		
10	A10	8068286981	DDIC-026-F01		VarATS	UNKNOWN	FAM	NFQ-MGB		
11	A11	7395820416	10000		VarATS	STANDARD	FAM	NFQ-MGB	"1e+04"	BP TEST
12	A12	7395820416	10000		VarATS	STANDARD	FAM	NFQ-MGB	"1e+04"	BP TEST
13	B1	8068287311	DDIC-016-F01		VarATS	UNKNOWN	FAM	NFQ-MGB		
14	B2	8068286870	DDIC-038-F01		VarATS	UNKNOWN	FAM	NFQ-MGB		
15	B3	8068286920	DDIC-001-C2-F03		VarATS	UNKNOWN	FAM	NFQ-MGB		
16	B4	8068287457	DDUIC-030-C3-F01		VarATS	UNKNOWN	FAM	NFQ-MGB		
17	B5	8068287255	DDUIC-028-C3-F01		VarATS	UNKNOWN	FAM	NFQ-MGB		
18	B6	8068286960	DDIC-011-F02		VarATS	UNKNOWN	FAM	NFQ-MGB		
19	B7	8068287166	DDUIC-024-C3-F04		VarATS	UNKNOWN	FAM	NFQ-MGB		
20	B8	8068286933	DDUIC-032-C2-F04		VarATS	UNKNOWN	FAM	NFQ-MGB		
21	B9	8068287343	DDIC-022-F01		VarATS	UNKNOWN	FAM	NFQ-MGB		
22	B10	8068287264	DDUIC-017-C3-F05		VarATS	UNKNOWN	FAM	NFQ-MGB		
23	B11	8203749561	1000		VarATS	STANDARD	FAM	NFQ-MGB	"1e+03"	BP TEST
24	B12	8203749561	1000		VarATS	STANDARD	FAM	NFQ-MGB	"1e+03"	BP TEST
25	C1	8068287102	DDIC-027-F01		VarATS	UNKNOWN	FAM	NFQ-MGB		
